
# disk,name,size...

DEBUG srcfile : system .fo
#FILE: system.dsk  DISK: SYSTEM #1  CREATED: 09-Feb-2020
# :  9 ['FILE#', 'NAME', 'TYPE', 'BEGIN', 'END', 'SIZE', 'DATE', 'PRT', 'RND']
system ASEMB.CMD 47 05-Jul-1983 -
system ASN.CMD 1 15-Nov-1983 -
system BROWSE.CMD 3 22-Feb-2004 -
system BUILD.CMD 1 17-Feb-1984 -
system CASM.CMD 89 21-Nov-1983 -
system CAT.CMD 3 17-Feb-1984 -
system CC.CMD 7 15-May-1984 -
system CHECK.CMD 2 17-Aug-1983 -
system CLIB.LIB 111 11-Feb-1984 R
system CLOAD.CMD 46 23-Jan-1984 -
system CLS.CMD 1 10-Oct-1984 -
system CLS6.CMD 1 30-Mar-1985 -
system CONVERGE.CMD 4 17-Feb-1984 -
system COPT.CMD 41 21-Nov-1983 -
system COPY.CMD 17 13-Nov-1983 -
system COPYR.CMD 1 15-May-1983 -
system CPASS1.CMD 129 11-Feb-1984 -
system CPASS2.CMD 105 11-Feb-1984 -
system CPREP.CMD 37 21-Nov-1983 -
system CPREP.TMP 3 15-May-1984 -
system CRTSET.SYS 1 21-Feb-2004 -
system CSTART.R 2 14-Jul-1983 -
system CTYPE.H 4 14-Jul-1983 -
system DATE.CMD 3 14-Jan-2000 -
system DATE.DOC 1 15-Feb-2000 -
system DATUM.CMD 2 15-Jul-1984 -
system DEBUG.CMD 45 01-Apr-1984 -
system DELETE.CMD 2 30-Jun-1983 -
system DIR.CMD 5 14-Jan-2000 -
system DIR.DOC 3 15-Feb-2000 -
system DIS.CMD 14 17-Feb-1984 -
system DISKBILD.CMD 2 10-Oct-1984 -
system DISKBLD.CMD 2 17-Mar-1985 -
system DUMP.CMD 1 22-Jul-1983 -
system DYNAMIC.CMD 3 17-Feb-1984 -
system E.CMD 31 23-Mar-1997 -
system E.DOC 9 07-Jan-1997 -
system ECHO.CMD 1 15-May-1983 -
system EMU.CMD 1 21-May-1997 -
